state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,pooled_pooled_count,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se,white_pooled_count,black_pooled_count,hisp_pooled_count,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se,pooled_male_count,pooled_female_count,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se,white_male_count,black_male_count,hisp_male_count,white_female_count,black_female_count,hisp_female_count
54,31,17501,Cumberland,.41217995,.011959059,.013623605,.0053369533,1829.8855,,,,,.41502661,.011790299,,,,,.014523271,.0053704614,1726.0171,,,.43837336,.017636931,.39057651,.015755575,.0017070712,.0019939065,.023938846,.010269599,969.11755,860.48663,,,,,.44337136,.018317131,,,,,.39266518,.015992103,,,,,.0013729275,.0014254531,,,,,.025412848,.010977689,918.95392,,,805.84955,,
54,33,16702,Morgantown,.42397833,.0055191056,.014630231,.0029554265,7627.2871,.32069439,.031200223,.39728752,.036170829,.43898538,.005915673,.034775678,.020920223,.0080174441,.0096094785,.014259973,.0028619803,7045.4932,177.56177,109.84902,.42668542,.0079410719,.4208549,.0076561254,.0039289794,.0018938823,.024672354,.0049171327,3988.3101,3637.0989,.29358873,.033267055,.3693136,.044602007,.44060487,.0084217433,.35235137,.050933193,.39428976,.056591175,.43635464,.0080315256,.028482139,.039249729,.00645597,.010186848,.0032036379,.0015249073,.023104539,.01958308,.0057921275,.013275594,.024668507,.0053265318,3676.5156,104.60117,55.689552,3368.5947,72.830528,53.795719
54,35,15300,Parkersburg,.39311758,.0086016152,.0099492352,.003508724,3248.5637,,,,,.40359148,.0089603243,,,,,.0099703567,.0034931663,3130.0913,,,.39923245,.011823137,.38746211,.011941236,.000020870499,.00066586718,.020068502,.0063655577,1658.6503,1589.8403,,,,,.40847486,.012799029,,,,,.39938316,.012615803,,,,,.000065018925,.00051251333,,,,,.019817764,.0067433561,1595.3845,,,1536.0918,,
54,37,17400,Hagerstown,.38936555,.0070001045,.021997949,.0046510589,3971.6992,.32039878,.018760793,.42819133,.039268598,.40931991,.0080635073,.079983555,.024329241,-.0037210344,.0054942877,.014277489,.0041090571,3239.1953,423.39371,109.71416,.40031171,.0098191835,.37991652,.0099070417,.0015389735,.0010153429,.041414198,.0090645524,1998.6915,1977.9736,.31434926,.020725152,.38829342,.054539319,.41983083,.011395426,.32458425,.026949856,.44793436,.054312065,.39900166,.011472371,.0082640648,.010097989,.0019385729,.0070450152,.00062604999,.00086859113,.13639241,.044461332,.0031470996,.0098920073,.027953949,.0085265152,1608.3673,208.7285,70.301346,1634.6709,214.51704,43.342659
54,39,16901,Charleston,.38050783,.003225371,.021346672,.002186738,18532.207,.3147352,.0076822918,.31923476,.02944289,.3996321,.003614028,.058431327,.0093944408,.02607652,.016957603,.016162166,.0020771045,14895.22,2477.1614,154.10413,.39795262,.0044955756,.36361802,.0043124403,.0025396382,.0008195081,.041757818,.0041369959,9389.6748,9146.748,.34904951,.01121215,.32876122,.037021928,.41496876,.0052420115,.28120336,.010455886,.31327513,.044228964,.3852219,.0050741201,.010030576,.0043461183,-.00076242187,.0040698838,.0014144548,.00039079972,.1180708,.019853579,.055225447,.051064741,.03129207,.0038930965,7554.0288,1247.0258,72.739334,7345.1606,1230.6228,80.135307
54,41,16703,Buckhannon,.42955923,.0093331644,.013524877,.0040875189,2474.533,,,,,.43778372,.0095776487,,,,,.012587677,.0041156909,2394.3647,,,.41632906,.012609816,.44252256,.013391577,-.00010014601,.00065130554,.026531845,.0094309403,1244.8981,1229.2429,,,,,.42963839,.013487875,,,,,.44584101,.013778636,,,,,-.00083381968,.00082313217,,,,,.027606441,.0088636549,1204.6152,,,1189.1626,,
54,43,16901,Charleston,.41134503,.0093054594,.018825553,.0054570171,3106.7688,,,,,.42328969,.0093351379,,,,,.018123485,.0051922598,2991.1997,,,.42612055,.012821014,.39741272,.012682271,.0075268815,.0049613588,.031715825,.010826079,1538.057,1569.6775,,,,,.43903899,.013377839,,,,,.40703112,.01353605,,,,,.0071535492,.0031379256,,,,,.029474217,.0096016247,1471.5338,,,1520.4518,,
54,45,16901,Charleston,.39443293,.0088059818,.017063381,.0049785115,4481.6201,.24465773,.0337261,,,.41050687,.0091846976,.088408954,.06293235,,,.015746912,.0049992404,4177.3247,195.88165,,.42590728,.012424039,.36455962,.011766134,.0051559852,.0038660713,.030225651,.0099521652,2272.7563,2207.6794,.37066448,.050448786,,,.43742833,.013540803,,,,,.3842181,.012600997,,,,,.0053727813,.0038436914,,,,,.026035158,.0093970699,2129.0244,,,2050.2424,105.42699,
54,47,11202,Welch,.37073523,.011362037,.026443876,.0089204116,3799.9587,.33009705,.025425471,,,.38976276,.014071334,.086102888,.041398041,,,.019553624,.0086111063,3056.468,618.72064,,.37967071,.016752467,.36153921,.015691381,.0068618897,.0061111338,.043961354,.016800147,2111.9822,1706.9368,.36111933,.036233317,,,.39712191,.020780677,.31199253,.035934672,,,.38346538,.018047696,.0044297762,.014239253,,,.0079839695,.0084613049,.15927452,.076052323,,,.030361645,.013686735,1724.2985,314.65155,,1354.9218,301.56262,
54,49,16702,Morgantown,.42948195,.0064360746,.012909042,.0031117657,5372.8604,.31794915,.024222426,.397053,.058620747,.44762954,.006926409,.091972202,.036049489,.015810266,.023783753,.0085408352,.0019153359,4843.5503,278.08643,48.944939,.44517958,.0090719219,.4133721,.0090153581,.0010936362,.00087900599,.026958847,.0066334195,2700.8105,2672.6194,.35311764,.036147621,.36237815,.090113394,.4584094,.0095853135,.29349115,.030158667,.40792924,.072173119,.43631101,.009642004,.001834466,.0061488533,-.017182974,.018408669,.00071732153,.00079735991,.15845776,.064757258,-.00052495569,.015610403,.018173311,.0051754303,2427.9763,142.27937,27.110645,2414.3811,135.10715,20.828192
54,51,15600,Wheeling,.45522022,.0075477259,.0035203462,.001428765,3835.9683,.2090584,.054471198,.47247255,.068252131,.46274415,.0077692945,.079623766,.080177195,-.00079713069,.014471651,.0034507178,.0010223838,3683.4385,17.601257,36.877728,.46626222,.010876069,.4439162,.010414431,.00043099158,.00049027702,.0066063167,.0018140328,2022.3124,1816.3558,,,,,.47303709,.011221507,,,,,.45221189,.010821515,,,,,.0010737631,.00091718894,,,,,.006912143,.0013067928,1951.8557,,,1734.491,,
54,53,15800,Athens,.39196849,.0085099638,.013788952,.0041503683,3143.1738,,,,,.40515655,.0086747743,,,,,.013149889,.0040857387,3024.512,,,.40139717,.011463075,.38256764,.012078762,.0015982738,.0012064219,.026281571,.0081344005,1629.6188,1513.0221,,,,,.41764992,.012322521,,,,,.39198786,.012426454,,,,,.0012015819,.00073529431,,,,,.026866537,.0085235192,1565.3042,,,1458.3812,,
54,55,11201,Bluefield,.381374,.0056855828,.026368776,.0042128651,6915.9619,.30194184,.013751417,.43061456,.051884845,.40236637,.0063575022,.04098127,.015510793,-.0035684993,.012039815,.023440817,.0040080771,5956.3081,688.53644,48.27795,.39478287,.0079183113,.36837775,.0080248462,.011514754,.0043084496,.042326991,.0081231548,3527.4016,3388.9102,.29606414,.017321039,.41780204,.05876312,.41974273,.0090512671,.31081039,.023770772,,,.38517773,.0087866662,.0048494902,.0059955511,-.019408442,.015394778,.011518233,.00501556,.086487688,.033683602,,,.035206474,.0073262416,3042.3425,347.52017,,2913.1233,340.83411,23.071592
54,57,17501,Cumberland,.41707379,.0084082419,.019811125,.0049955565,3398.9871,.3309797,.032702699,,,.429093,.0088890567,.066371821,.039427057,,,.016141761,.0047076461,3141.4026,122.75645,,.42747191,.012123717,.40528196,.011931306,.0014626303,.0011642487,.042706594,.011099914,1770.8289,1629.4318,.33760235,.03671841,,,.44072771,.012783705,.34137836,.056968365,,,.41767368,.012324481,.018941186,.019653318,,,.0015428497,.00072054949,.1946307,.11291222,,,.032902669,.0095899003,1651.4934,63.101635,,1492.8043,60.078617,
54,59,17000,Pikeville,.40481827,.0083480347,.014964713,.0045946129,3949.123,.33014789,.034760803,,,.42267534,.009193711,.043474939,.035570875,,,.014334915,.0048977346,3645.0793,122.61584,,.40946892,.011866159,.399685,.012423709,.0047537102,.0029130138,.026355678,.0086791497,1960.2136,1988.1816,.37907326,.043009602,,,.42838091,.012971787,,,,,.41628194,.012973045,-.002347789,.010441243,,,.0045897355,.0030661437,,,,,.023971329,.007880806,1828.6045,,,1815.0859,59.267494,
54,61,16702,Morgantown,.43176028,.0062636929,.015088066,.0034642378,5802.5508,.39660981,.032714527,.4180949,.039689194,.44117653,.0067523657,.081754245,.04080287,.043875765,.042643018,.012355946,.0031219679,5090.0049,222.42175,96.085052,.43346751,.0088799698,.42935851,.0092095109,.00074952241,.00038473491,.032775383,.0074971411,2867.8176,2929.179,.39239982,.04587023,.42399901,.059644073,.44127393,.0093205953,.39713192,.044727542,.4144375,.053350531,.44177106,.0096741915,.0012095093,.0071373992,-.0077546267,.0093320953,.00038125366,.00025125025,.1619678,.072836958,.06748943,.060409438,.026950458,.006240855,2526.1028,114.2356,54.513477,2560.7148,109.17505,42.101925
54,63,16600,Roanoke,.43971238,.01305559,.01748006,.0074223136,1855.4127,,,,,.44757885,.013491553,,,,,.015670219,.005870814,1803.226,,,.46820343,.019589825,.41186237,.018126087,.0021637904,.0026024946,.038937893,.015325468,968.29248,887.53839,,,,,.47131142,.019633176,,,,,.42345935,.018333301,,,,,.0017342791,.0018675997,,,,,.035780977,.013623725,950.62445,,,854.07111,,
54,65,17400,Hagerstown,.40254909,.010373027,.01137437,.0048863264,1946.0018,,,,,.41348433,.011006534,,,,,.011843694,.0051433612,1871.152,,,.41116413,.015053596,.39339784,.014627752,.0021946218,.0020749236,.019955333,.0072300523,978.95917,966.34033,,,,,.42034647,.015941804,,,,,.40586993,.015243527,,,,,.0022552898,.0019849697,,,,,.02128371,.0086594429,951.45435,,,919.10626,,
54,67,16802,Summersville,.42141983,.0085259555,.018400026,.0049139452,3627.1208,,,,,.43328154,.0087467404,,,,,.018251006,.0046680989,3533.7317,,,.42175889,.01245508,.42225602,.011655354,.0018948378,.0012743755,.032486122,.0093207546,1948.3357,1674.5332,,,,,.43248898,.012798199,,,,,.43511108,.012152706,,,,,.0033778169,.0022441929,,,,,.032798596,.0089084134,1910.8632,,,1620.277,,
